brand,details,price,year,mileage,fuel,gearbox,power
ford,"2,0 TDCi TREND",169000,2013,248000,Nafta,Manuální,-1.0
subaru,2.0d -xv 4x4 alu závěs,139999,2012,225454,Nafta,Manuální,-1.0
hyundai,"1,6TGDi Style FL 25 118kw",634890,2025,5300,Benzín,Manuální,118.0
mercedes-benz,E 53 AMG Coupe 4M+ TOP ZÁRUKA,1499000,2021,23500,Hybridní,Automatická,-1.0
subaru,"2,0 T 4x4 130 KW",77777,2001,248150,Benzín,Automatická,130.0
subaru,"G3X Justy 1,3 69KW KLIMA 4X4",89999,2004,153804,Benzín,Manuální,69.0
skoda,"1,5Tsi Sportline Exclusive DSG",931700,2023,50,Benzín,Automatická,-1.0
fiat,FireFly 1.0  74 kW,439990,2024,1,Benzín,Manuální,74.0
fiat,1.6 JTD 77kW,138000,2013,179811,Nafta,Manuální,77.0
toyota,"2.2 D-4D (110 kW), plný servis",218900,2015,171316,Nafta,Manuální,110.0
honda,2.0 Plugin ADVANCE TECH,1199800,2026,10,Hybridní,Automatická,-1.0
honda,"2,0 Advance",899900,2025,10,Hybridní,Automatická,-1.0
volvo,"D3 R-Design, manuál, servis",194990,2013,160500,Nafta,Manuální,-1.0
fiat,FIAT 500 e,699000,2023,2990,Elektro,Automatická,-1.0
hyundai,"1,6 CRDi MT SMART NAVI",509900,2021,45424,Nafta,Manuální,-1.0
mercedes-benz,S63 AMG 4M Coupé,2290000,2017,77400,Benzín,Automatická,-1.0
honda,2.0e:HEV Sport,769000,2025,10,Hybridní,Automatická,-1.0
honda,2.0e:HEV Advance AWD,1079900,2026,15,Hybridní,Automatická,-1.0
seat,"2.0TDI 103kW DSG 7 míst,Servis",319900,2015,226500,Nafta,Automatická,103.0
honda,2.0e:HEV Advance AWD,1079900,2026,10,Hybridní,Automatická,-1.0
subaru,"2,0 121KW 4x4",99000,2006,142630,Benzín,Manuální,121.0
honda,2.0PHEV ADVANCE TECH EXCLUSIVE,1262700,2026,15,Hybridní,Automatická,-1.0
honda,2.0e:FHEV Advance,1129000,2026,10,Hybridní,Automatická,-1.0
honda,2.0PHEV ADVANCE TECH EXCLUSIVE,1257777,2026,11,Hybridní,Automatická,-1.0
ford,1.8TDCi 81kW*KLIMA,79000,2010,358407,Nafta,Manuální,81.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1117700,2026,15,Hybridní,Automatická,-1.0
fiat,"1,6 Multijet 16V -nové rozvody",69900,2009,79767,Nafta,Manuální,-1.0
fiat,1.0 FireFly 100k kombi,439900,2023,5,Benzín,Manuální,-1.0
peugeot,"1,6 THP,SERVIS.KN.,PANORAMA.",119000,2008,92915,Benzín,Automatická,-1.0
seat,"2,0 TDI, 105 kW",159900,2011,129000,Nafta,Manuální,105.0
citroen,"1.4 VTi LPG, tempomat,serviska",106000,2012,181500,Benzín,Manuální,-1.0
citroen,"1.4 VTi LPG, tempomat,serviska",106000,2012,181500,LPG + benzín,Manuální,-1.0
kia,"1.6,1.MAJITEL,SERVIS.KN,",139999,2014,178000,Benzín,Manuální,-1.0
audi,3.0 BiTdi,450000,2015,228000,Nafta,Automatická,-1.0
subaru,"2,5 i 121KW, ČR, AUT.AC., AWD.",65000,2004,331747,Benzín,Manuální,121.0
fiat,1.9 Diesel Basis Kasten,89000,2004,287948,Nafta,Manuální,-1.0
honda,1.5e:HEV Elegance,619000,2026,15,Hybridní,Automatická,-1.0
renault,"1.5dci ,  splátky",39999,2004,246000,Nafta,Manuální,-1.0
fiat,"1,6 MultiJet  Lounge",299992,2017,119710,Nafta,Automatická,-1.0
peugeot,Active 1.5 Bluehdi S&s ZAK ČR,344850,2020,100900,Nafta,Manuální,-1.0
honda,"Crosstar 1,5 e:HEV Advance",629900,2025,100,Hybridní,Automatická,-1.0
honda,"2,0 e:HEV Advance 24YM DEMO",859900,2025,200,Hybridní,Automatická,-1.0
honda,2.0e:HEV SPORT EXCLUSIVE 2026,859700,2026,10,Hybridní,Automatická,-1.0
ford,"Raptor 2023 V6 3.0EcoBoost, AT",1878900,2026,10,Benzín,Automatická,-1.0
fiat,BEV 42 Kwh - zelená oceano,749900,2023,2200,Elektro,Automatická,42.0
skoda,"MONTECARLO 1,5Tsi 7ST DSG/Auto",769000,2023,15,Benzín,Automatická,-1.0
fiat,HB1.0 FireFly 100k CROSS,449900,2023,0,Benzín,Manuální,-1.0
ford,"1,0 EcoBoost Trend kombi",299000,2020,59000,Benzín,Manuální,-1.0
honda,2.0e:FHEV Advance,1119000,2026,10,Hybridní,Automatická,-1.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1099800,2026,11,Benzín,Automatická,-1.0
seat,Style 1.2 TSI 77 kW,154990,2014,71662,Benzín,Manuální,77.0
honda,2.0 4x4 ELEGANCE EXCLUSIVE,1072700,2026,8,Hybridní,Automatická,-1.0
bmw,xDrive  30d - nez.topení,950000,2017,71711,Nafta,Automatická,-1.0
honda,2.0e:HEV ELEGANCE EXCLUSIVE,1052700,2026,11,Hybridní,Automatická,-1.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1099800,2026,9,Hybridní,Automatická,-1.0
nissan,"1.2DiG-T,Acenta,AT,navi",318000,2017,95083,Benzín,Automatická,-1.0
honda,2.0e:HEV ELEGANCE EXCLUSIVE,1029800,2026,20,Benzín,Automatická,-1.0
honda,2.0 4x4 ELEGANCE EXCLUSIVE,1067700,2026,10,Hybridní,Automatická,-1.0
honda,"2,2 CTDi EXECUTIV   6 míst",79900,2007,248250,Nafta,Manuální,-1.0
honda,2.0e:FHEV Advance,1119000,2026,10,Hybridní,Automatická,-1.0
subaru,"2,0 i AWD KLIMA",59000,2007,399000,Benzín,Manuální,-1.0
honda,"3,0 201kW",1999000,1991,165123,Benzín,Automatická,201.0
bmw,"18D sDrive, M-paket, servis",359000,2016,218500,Nafta,Automatická,-1.0
ford,"2.0TDCi 4x4,Titanium,AT",189000,2012,116935,Nafta,Automatická,-1.0
honda,"2,0e:HEV Advance REZERVACE",1097800,2025,10,Benzín,Automatická,-1.0
mercedes-benz,200,719000,2023,40029,Benzín,Automatická,-1.0
audi,"1.4 TFSI Sportback, Ambition",229000,2013,55816,Benzín,Manuální,-1.0
fiat,ICON BERLINA 42 KWH,499900,2022,22000,Elektro,Automatická,42.0
fiat,ICON BERLINA 42 KWH,499900,2022,22000,Elektro,Unknown,42.0
fiat,ICON BERLINA 42 KWH,499900,2022,25000,Elektro,Automatická,42.0
fiat,ICON BERLINA 42 KWH,534900,2022,5800,Elektro,Automatická,42.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1122777,2026,10,Benzín,Automatická,-1.0
peugeot,"1,2 GT Hybrid 136 e-DCS6",869000,2025,5,Hybridní,Automatická,-1.0
fiat,Fiat 500X 1.3 MultiJet 95k,499900,2024,5,Nafta,Manuální,-1.0
audi,3.0TDI S-LINE-QUAT-ALCANT-NAVI,499990,2016,96815,Nafta,Automatická,-1.0
mazda,"194PS,A/T,Takumi,s.okno,Z.PNEU",799000,2024,30600,Benzín,Automatická,-1.0
nissan,"+2  1,5DCi 76kW *7MÍST*NAVI*",165900,2010,147427,Nafta,Manuální,76.0
honda,2.0 4x4 ELEGANCE EXCLUSIVE,1067700,2026,20,Hybridní,Automatická,-1.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1099777,2026,10,Benzín,Automatická,-1.0
renault,Intens 1.6 E-TECH 118 kW,449990,2021,28289,Hybridní,Automatická,118.0
honda,2.0e:HEV Elegance AWD,1019900,2026,10,Hybridní,Automatická,-1.0
