brand,details,price,year,mileage,fuel,gearbox,power
subaru,"G3X Justy 1,3 69KW KLIMA 4X4",89999,2004,153804,Benzín,Manuální,69.0
skoda,"1,5Tsi Sportline Exclusive DSG",931700,2023,50,Benzín,Automatická,110.0
fiat,FireFly 1.0  74 kW,439990,2024,1,Benzín,Manuální,74.0
fiat,1.6 JTD 77kW,138000,2013,179811,Nafta,Manuální,77.0
toyota,"2.2 D-4D (110 kW), plný servis",218900,2015,171316,Nafta,Manuální,110.0
honda,"2,0 Advance",899900,2025,10,Hybridní,Automatická,108.0
ford,ČR 1.5 EcoBoost 110kW,425990,2018,59000,Benzín,Manuální,110.0
fiat,FIAT 500 e,599000,2023,2990,Elektro,Automatická,70.0
hyundai,"1,6 CRDi MT SMART NAVI",489900,2021,45424,Nafta,Manuální,99.0
subaru,2.4i Limited AT,1499900,2023,900,Benzín,Automatická,110.0
honda,2.0e:HEV Advance AWD,1079900,2026,15,Hybridní,Automatická,108.0
audi,Cabrio 40 TFSI quattro S line,759000,2019,39850,Benzín,Automatická,165.0
seat,"2.0TDI 103kW DSG 7 míst,Servis",299900,2015,226500,Nafta,Automatická,103.0
honda,2.0e:HEV Advance AWD,1079900,2026,10,Hybridní,Automatická,108.0
honda,2.0PHEV ADVANCE TECH EXCLUSIVE,1242700,2026,15,Hybridní,Automatická,108.0
honda,2.0e:FHEV Advance,1129000,2026,10,Hybridní,Automatická,108.0
honda,2.0PHEV ADVANCE TECH EXCLUSIVE,1237777,2026,11,Hybridní,Automatická,108.0
mazda,Makoto Premium R-EV e-Skyactiv,939000,2024,1900,Elektro,Automatická,114.0
ford,2.0 Hybrid 187k Titanium,669900,2019,77000,Hybridní,Automatická,110.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1127700,2026,15,Hybridní,Automatická,108.0
fiat,"1,6 Multijet 16V -nové rozvody",69900,2009,79767,Nafta,Manuální,70.0
fiat,1.0 FireFly 100k kombi,439900,2023,5,Benzín,Manuální,70.0
audi,"3,0 50TDI B&O NIGHTVISION Quat",899900,2019,74308,Nafta,Automatická,165.0
seat,"2,0 TDI, 105 kW",159900,2011,129000,Nafta,Manuální,105.0
citroen,"1.4 VTi LPG, tempomat,serviska",106000,2012,181500,Benzín,Manuální,84.5
citroen,"1.4 VTi LPG, tempomat,serviska",106000,2012,181500,LPG + benzín,Manuální,84.5
kia,"1.6,1.MAJITEL,SERVIS.KN,",135999,2014,178000,Benzín,Manuální,103.0
kia,"1.6,1.MAJITEL,SERVIS.KN",135999,2014,178000,Benzín,Manuální,103.0
subaru,"2,5 i 121KW, ČR, AUT.AC., AWD.",65000,2004,331747,Benzín,Manuální,121.0
fiat,1.9 Diesel Basis Kasten,89000,2004,287948,Nafta,Manuální,70.0
honda,1.5e:HEV Elegance,619000,2026,15,Hybridní,Automatická,108.0
ford,"1,5 tdci 70kW 2xšoupačky",145000,2016,201180,Nafta,Manuální,70.0
renault,"1.5dci ,  splátky",35000,2004,246000,Nafta,Manuální,82.0
bmw,řady 3 | 318d,789000,2023,30508,Nafta,Automatická,161.0
fiat,"1,6 MultiJet  Lounge",299992,2017,119710,Nafta,Automatická,70.0
peugeot,Active 1.5 Bluehdi S&s ZAK ČR,344850,2020,100900,Nafta,Manuální,90.0
honda,"Crosstar 1,5 e:HEV Advance",629900,2025,100,Hybridní,Automatická,108.0
honda,2.0e:HEV SPORT EXCLUSIVE 2026,857700,2026,10,Hybridní,Automatická,108.0
fiat,BEV 42 Kwh - zelená oceano,749900,2023,2200,Elektro,Automatická,42.0
skoda,"MONTECARLO 1,5Tsi 7ST DSG/Auto",769000,2023,15,Benzín,Automatická,110.0
fiat,HB1.0 FireFly 100k CROSS,429900,2023,6000,Benzín,Manuální,70.0
ford,,489990,2017,159000,Nafta,Manuální,110.0
ford,"1,0 EcoBoost Trend kombi",279000,2020,69000,Benzín,Manuální,110.0
honda,2.0e:FHEV Advance,1119000,2026,10,Hybridní,Automatická,108.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1127700,2026,11,Benzín,Automatická,108.0
seat,Style 1.2 TSI 77 kW,154990,2014,71662,Benzín,Manuální,77.0
skoda,1.5 Tsi G-Tec STYLE 7st Dsg,475000,2019,81650,CNG + benzín,Automatická,110.0
honda,2.0 4x4 ELEGANCE EXCLUSIVE,1062700,2026,8,Hybridní,Automatická,108.0
honda,2.0e:HEV ELEGANCE EXCLUSIVE,1052700,2026,11,Hybridní,Automatická,108.0
honda,2.0 4x4 ADVANCE EXCLUSIVE,1109900,2026,9,Hybridní,Automatická,108.0
opel,"Edition 1,2T MT6, ČR, 1.maj",325000,2023,14950,Benzín,Manuální,96.0
volvo,"T5 COUPÉ AT5 176kW, 2. maj.",189000,2000,240011,Benzín,Automatická,176.0
nissan,"1.2DiG-T,Acenta,AT,navi",318000,2017,95083,Benzín,Automatická,96.0
fiat,"1,4 T,16V, 120k,Kombi rok.2017",187900,2017,132500,Benzín,Manuální,70.0
honda,2.0e:HEV ELEGANCE EXCLUSIVE,1029800,2026,20,Benzín,Automatická,108.0
honda,2.0 4x4 ELEGANCE EXCLUSIVE,1117700,2026,10,Hybridní,Automatická,108.0
skoda,Style 2.0 TDI 147 kW,779990,2022,1936,Nafta,Automatická,147.0
honda,"2,2 CTDi EXECUTIV   6 míst",79900,2007,248250,Nafta,Manuální,108.0
honda,2.0e:FHEV Advance,1119000,2026,10,Hybridní,Automatická,108.0
subaru,"2,0 i AWD KLIMA",59000,2007,399000,Benzín,Manuální,110.0
